commSize,totalNumberPoint,pointDimension,K,time
1,100,2,7,0.00364735
2,100,2,7,0.0015662
3,100,2,7,0.00181531
4,100,2,7,0.00091826
5,100,2,7,0.0011987
6,100,2,7,0.00110732
7,100,2,7,0.00091485
8,100,2,7,0.00090324
9,100,2,7,0.00096588
10,100,2,7,0.000811349
11,100,2,7,0.00077715
12,100,2,7,0.00090317
13,100,2,7,0.00103069
14,100,2,7,0.00112577
15,100,2,7,0.0330309
16,100,2,7,0.00530666
17,100,2,7,0.0292742
18,100,2,7,0.0468557
19,100,2,7,0.055462
20,100,2,7,0.072041
21,100,2,7,0.0806794
22,100,2,7,0.108566
23,100,2,7,0.106879
24,100,2,7,0.11357
25,100,2,7,0.122453
26,100,2,7,0.129457
27,100,2,7,0.139683
28,100,2,7,0.151259
29,100,2,7,0.161581
30,100,2,7,0.16872
31,100,2,7,0.182469
32,100,2,7,0.194512
1,100,2,7,0.00235918
1,100,2,7,0.00189058
2,100,2,7,0.00124731
3,100,2,7,0.00110749
4,100,2,7,0.00102769
5,100,2,7,0.00132099
6,100,2,7,0.00089909
7,100,2,7,0.00081516
8,100,2,7,0.00122295
9,100,2,7,0.00080923
10,100,2,7,0.00103302
11,100,2,7,0.00108208
12,100,2,7,0.00115133
13,100,2,7,0.00131814
14,100,2,7,0.00121349
15,100,2,7,0.00108672
16,100,2,7,0.00116675
