Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 23.33      0.04     0.04 11046320     0.00     0.00  std::vector<double, std::allocator<double> >::at(unsigned long) const
 20.00      0.07     0.03 13885640     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
 13.33      0.09     0.02 11046320     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
 13.33      0.10     0.02   132912     0.00     0.00  Tupla::distanza(Tupla const&) const
  6.67      0.12     0.01 13885640     0.00     0.00  std::vector<double, std::allocator<double> >::_M_range_check(unsigned long) const
  6.67      0.12     0.01 11021740     0.00     0.00  Tupla::getThValue(int) const
  6.67      0.14     0.01  2734420     0.00     0.00  Tupla::setThValue(int, double)
  6.67      0.14     0.01   283092     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<double>::__value, void>::__type std::__fill_a1<double*, double>(double*, double*, double const&)
  3.33      0.15     0.01   283092     0.00     0.00  std::vector<double, std::allocator<double> >::vector(unsigned long, std::allocator<double> const&)
  0.00      0.15     0.00  2839320     0.00     0.00  std::vector<double, std::allocator<double> >::at(unsigned long)
  0.00      0.15     0.00  2839320     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00      0.15     0.00   699096     0.00     0.00  std::allocator<double>::~allocator()
  0.00      0.15     0.00   566184     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  0.00      0.15     0.00   566184     0.00     0.00  __gnu_cxx::new_allocator<double>::_M_max_size() const
  0.00      0.15     0.00   566184     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00      0.15     0.00   550000     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__addressof<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.15     0.00   445416     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.15     0.00   416004     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      0.15     0.00   403632     0.00     0.00  __gnu_cxx::__normal_iterator<Point**, std::vector<Point*, std::allocator<Point*> > >::operator*() const
  0.00      0.15     0.00   399500     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00      0.15     0.00   393598     0.00     0.00  std::vector<Point*, std::allocator<Point*> >::begin()
  0.00      0.15     0.00   393320     0.00     0.00  void std::advance<__gnu_cxx::__normal_iterator<Point**, std::vector<Point*, std::allocator<Point*> > >, int>(__gnu_cxx::__normal_iterator<Point**, std::vector<Point*, std::allocator<Point*> > >&, int)
  0.00      0.15     0.00   383650     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.15     0.00   300000     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__niter_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.15     0.00   300000     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&& std::forward<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::type&)
  0.00      0.15     0.00   283092     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  0.00      0.15     0.00   283092     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.00      0.15     0.00   283092     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00      0.15     0.00   283092     0.00     0.00  std::allocator<double>::allocator()
  0.00      0.15     0.00   283092     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00      0.15     0.00   283092     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&)
  0.00      0.15     0.00   283092     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long)
  0.00      0.15     0.00   283092     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.15     0.00   283092     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&)
  0.00      0.15     0.00   283092     0.00     0.00  std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long)
  0.00      0.15     0.00   283092     0.00     0.00  std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&)
  0.00      0.15     0.00   283092     0.00     0.00  double* std::__uninitialized_default_n_1<true>::__uninit_default_n<double*, unsigned long>(double*, unsigned long)
  0.00      0.15     0.00   283092     0.00     0.00  std::vector<double, std::allocator<double> >::_S_max_size(std::allocator<double> const&)
  0.00      0.15     0.00   283092     0.00     0.00  std::vector<double, std::allocator<double> >::_S_check_init_len(unsigned long, std::allocator<double> const&)
  0.00      0.15     0.00   283092     0.00     0.00  std::vector<double, std::allocator<double> >::_M_default_initialize(unsigned long)
  0.00      0.15     0.00   283092     0.00     0.00  void std::_Construct<double>(double*)
  0.00      0.15     0.00   283092     0.00     0.00  double* std::__fill_n_a<double*, unsigned long, double>(double*, unsigned long, double const&, std::random_access_iterator_tag)
  0.00      0.15     0.00   283092     0.00     0.00  double* std::__addressof<double>(double&)
  0.00      0.15     0.00   283092     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      0.15     0.00   283092     0.00     0.00  std::iterator_traits<double*>::iterator_category std::__iterator_category<double*>(double* const&)
  0.00      0.15     0.00   283092     0.00     0.00  double* std::__uninitialized_default_n<double*, unsigned long>(double*, unsigned long)
  0.00      0.15     0.00   283092     0.00     0.00  double* std::__uninitialized_default_n_a<double*, unsigned long, double>(double*, unsigned long, std::allocator<double>&)
  0.00      0.15     0.00   283092     0.00     0.00  double* std::fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      0.15     0.00   283092     0.00     0.00  void std::__fill_a<double*, double>(double*, double*, double const&)
  0.00      0.15     0.00   283022     0.00     0.00  Tupla::Tupla(int)
  0.00      0.15     0.00   272640     0.00     0.00  Tupla::~Tupla()
  0.00      0.15     0.00   272640     0.00     0.00  Tupla::differenzaVettoriale(Tupla const&) const
  0.00      0.15     0.00   265856     0.00     0.00  __gnu_cxx::__normal_iterator<Cluster**, std::vector<Cluster*, std::allocator<Cluster*> > >::base() const
  0.00      0.15     0.00   232204     0.00     0.00  Point::getThPoint(int)
  0.00      0.15     0.00   165354     0.00     0.00  __gnu_cxx::__normal_iterator<Point**, std::vector<Point*, std::allocator<Point*> > >::__normal_iterator(Point** const&)
  0.00      0.15     0.00   154204     0.00     0.00  __gnu_cxx::__normal_iterator<Point**, std::vector<Point*, std::allocator<Point*> > >::operator+=(long)
  0.00      0.15     0.00   154204     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<Point**, std::vector<Point*, std::allocator<Point*> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<Point**, std::vector<Point*, std::allocator<Point*> > > >(__gnu_cxx::__normal_iterator<Point**, std::vector<Point*, std::allocator<Point*> > > const&)
  0.00      0.15     0.00   154204     0.00     0.00  void std::__advance<__gnu_cxx::__normal_iterator<Point**, std::vector<Point*, std::allocator<Point*> > >, long>(__gnu_cxx::__normal_iterator<Point**, std::vector<Point*, std::allocator<Point*> > >&, long, std::random_access_iterator_tag)
  0.00      0.15     0.00   150000     0.00     0.00  void __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.15     0.00   150000     0.00     0.00  void __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::construct<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.15     0.00   150000     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::_M_max_size() const
  0.00      0.15     0.00   150000     0.00     0.00  void std::allocator_traits<std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.15     0.00   150000     0.00     0.00  void std::allocator_traits<std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::construct<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.15     0.00   150000     0.00     0.00  void std::__relocate_object_a<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&)
  0.00      0.15     0.00   150000     0.00     0.00  std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>::type&& std::move<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.15     0.00   144532     0.00     0.00  __gnu_cxx::__normal_iterator<Cluster**, std::vector<Cluster*, std::allocator<Cluster*> > >::operator*() const
  0.00      0.15     0.00   137130     0.00     0.00  Cluster::getCentroid()
  0.00      0.15     0.00   132912     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  0.00      0.15     0.00   132912     0.00     0.00  bool __gnu_cxx::operator!=<Cluster**, std::vector<Cluster*, std::allocator<Cluster*> > >(__gnu_cxx::__normal_iterator<Cluster**, std::vector<Cluster*, std::allocator<Cluster*> > > const&, __gnu_cxx::__normal_iterator<Cluster**, std::vector<Cluster*, std::allocator<Cluster*> > > const&)
  0.00      0.15     0.00   132912     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.00      0.15     0.00   132912     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00      0.15     0.00   132912     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00      0.15     0.00   132912     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00      0.15     0.00   132912     0.00     0.00  std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long)
  0.00      0.15     0.00   132912     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.00      0.15     0.00   132912     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00      0.15     0.00   132912     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  0.00      0.15     0.00   131040     0.00     0.00  __gnu_cxx::__normal_iterator<Cluster**, std::vector<Cluster*, std::allocator<Cluster*> > >::operator++()
  0.00      0.15     0.00   100000     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::max_size() const
  0.00      0.15     0.00   100000     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::base() const
  0.00      0.15     0.00   100000     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_get_Tp_allocator() const
  0.00      0.15     0.00   100000     0.00     0.00  std::allocator_traits<std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::max_size(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      0.15     0.00   100000     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_S_max_size(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      0.15     0.00   100000     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_S_do_relocate(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&, std::integral_constant<bool, true>)
  0.00      0.15     0.00   100000     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__relocate_a<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&)
  0.00      0.15     0.00   100000     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__relocate_a_1<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&)
  0.00      0.15     0.00   100000     0.00     0.00  void std::_Destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.15     0.00    50000     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::allocate(unsigned long, void const*)
  0.00      0.15     0.00    50000     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::__normal_iterator(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* const&)
  0.00      0.15     0.00    50000     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::max_size() const
  0.00      0.15     0.00    50000     0.00     0.00  std::allocator_traits<std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::allocate(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&, unsigned long)
  0.00      0.15     0.00    30961     0.00     0.00  Point*&& std::forward<Point*>(std::remove_reference<Point*>::type&)
  0.00      0.15     0.00    18720     0.00     0.00  Cluster::getThPoint(int)
  0.00      0.15     0.00    17322     0.00     0.00  __gnu_cxx::__normal_iterator<Cluster**, std::vector<Cluster*, std::allocator<Cluster*> > >::__normal_iterator(Cluster** const&)
  0.00      0.15     0.00    15302     0.00     0.00  std::vector<Cluster*, std::allocator<Cluster*> >::begin()
  0.00      0.15     0.00    10590     0.00     0.00  std::vector<Point*, std::allocator<Point*> >::end()
  0.00      0.15     0.00    10448     0.00     0.00  Tupla::get_dim()
  0.00      0.15     0.00    10312     0.00     0.00  void __gnu_cxx::new_allocator<Point*>::construct<Point*, Point*>(Point**, Point*&&)
  0.00      0.15     0.00    10312     0.00     0.00  __gnu_cxx::__normal_iterator<Point**, std::vector<Point*, std::allocator<Point*> > >::operator-(long) const
  0.00      0.15     0.00    10312     0.00     0.00  void std::allocator_traits<std::allocator<Point*> >::construct<Point*, Point*>(std::allocator<Point*>&, Point**, Point*&&)
  0.00      0.15     0.00    10312     0.00     0.00  Point*& std::vector<Point*, std::allocator<Point*> >::emplace_back<Point*>(Point*&&)
  0.00      0.15     0.00    10312     0.00     0.00  std::vector<Point*, std::allocator<Point*> >::back()
  0.00      0.15     0.00    10312     0.00     0.00  std::vector<Point*, std::allocator<Point*> >::push_back(Point*&&)
  0.00      0.15     0.00    10312     0.00     0.00  std::remove_reference<Point*&>::type&& std::move<Point*&>(Point*&)
  0.00      0.15     0.00     9678     0.00     0.00  Cluster::getThCluster(int)
  0.00      0.15     0.00     9678     0.00     0.00  __gnu_cxx::__normal_iterator<Cluster**, std::vector<Cluster*, std::allocator<Cluster*> > >::operator+=(long)
  0.00      0.15     0.00     9678     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<Cluster**, std::vector<Cluster*, std::allocator<Cluster*> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<Cluster**, std::vector<Cluster*, std::allocator<Cluster*> > > >(__gnu_cxx::__normal_iterator<Cluster**, std::vector<Cluster*, std::allocator<Cluster*> > > const&)
  0.00      0.15     0.00     9678     0.00     0.00  void std::advance<__gnu_cxx::__normal_iterator<Cluster**, std::vector<Cluster*, std::allocator<Cluster*> > >, int>(__gnu_cxx::__normal_iterator<Cluster**, std::vector<Cluster*, std::allocator<Cluster*> > >&, int)
  0.00      0.15     0.00     9678     0.00     0.00  void std::__advance<__gnu_cxx::__normal_iterator<Cluster**, std::vector<Cluster*, std::allocator<Cluster*> > >, long>(__gnu_cxx::__normal_iterator<Cluster**, std::vector<Cluster*, std::allocator<Cluster*> > >&, long, std::random_access_iterator_tag)
  0.00      0.15     0.00     4200     0.00     0.00  Cluster::getSumCluster(int)
  0.00      0.15     0.00     3997     0.00     0.00  Point* const& std::forward<Point* const&>(std::remove_reference<Point* const&>::type&)
  0.00      0.15     0.00     3744     0.00     0.00  std::vector<Cluster*, std::allocator<Cluster*> >::front()
